# IP RP SP set_id D HHub_Ratio HHub HTrans PileDepth WaterDepth WaveHeight WavePeriod WindSpeed monopile_mass tower_mass total_mass
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 10.41484167865 10.41484167865 5.0491933384 6.0 9.0 337879.37858003 483003.2758220323 820882.6544020623
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 11.17117805476 11.17117805476 3.5 6.0 9.0 343677.06178116094 488298.43087682355 831975.4926579845
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 1.5790174626 6.0 9.0 335566.2748182317 512540.0606526664 848106.3354708981
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 1.9508066616 2.127016654 9.0 365362.829111482 487943.285448347 853306.114559829
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 1.9508066616 6.0 5.9016133232 335834.9314689663 536845.7411671453 872680.6726361116
10.0 10.0 300.0 1.0 206.0129077457011 0.58381049962 120.27249859918673 10.6762099924 20.5 20.5 3.5 6.0 9.0 582014.8510559467 572869.4004412647 1154884.2514972114
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 1.9508066616 6.0 9.0 336301.40251110157 512043.0885423481 848344.4910534497
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 1.9508066616 6.0 12.0983866768 335701.462538621 512415.61740469834 848117.0799433193
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 1.9508066616 9.872983346 9.0 366179.45011584245 486461.4258131602 852640.8759290027
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 2.6315125012 6.0 9.0 354474.4096853173 508276.2995972147 862750.709282532
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 3.5 1.1975436565 9.0 376250.93902661075 482646.97396244324 858897.912989054
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 3.5 2.127016654 5.9016133232 350768.95166538336 512197.1677844412 862966.1194498246
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 3.5 2.127016654 9.0 334376.757027318 515967.30652129557 850344.0635486136
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 3.5 2.127016654 12.0983866768 356267.48547902406 495426.0028593151 851693.4883383391
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 3.5 3.828781253 9.0 372576.49274588755 484760.98950973345 857337.482255621
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 3.5 6.0 5.1580349252 379309.82364211226 480401.78552369034 859711.6091658026
10.0 10.0 300.0 1.0 206.0129077457011 0.58381049962 120.27249859918673 10.6762099924 20.5 20.5 3.5 6.0 12.0983866768 466223.4854426901 551110.853740156 1017334.3391828461
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 3.5 6.0 5.9016133232 362818.9168727185 489623.01512387954 852441.931996598
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 3.5 6.0 7.2630250024 357863.77372240415 499099.5043563993 856963.2780788034
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 3.5 6.0 9.0 357104.32562822883 505620.2218937307 862724.5475219595
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 3.5 6.0 10.7369749976 333862.80369176395 533060.9131900121 866923.716881776
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 3.5 6.0 12.0983866768 355764.83372808184 494958.67390862637 850723.5076367082
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 3.5 6.0 12.841965075200001 423098.0581061357 558053.8146550831 981151.8727612188
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 3.5 8.171218747000001 9.0 334911.33335477125 514441.81551084446 849353.1488656157
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 3.5 9.872983346 5.9016133232 423062.9323872746 558473.1449987027 981536.0773859773
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 3.5 9.872983346 9.0 336703.22955967655 512520.367289473 849223.5968491496
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 3.5 9.872983346 12.0983866768 340041.88941321813 524043.52507134783 864085.414484566
10.0 10.0 300.0 1.0 206.0129077457011 0.555926309695 114.5279955526041 13.0 12.3667349734 12.3667349734 3.5 6.0 9.0 357104.32562822883 505620.2218937307 862724.5475219595
10.0 10.0 300.0 1.0 206.0129077457011 0.58381049962 120.27249859918673 10.6762099924 20.5 20.5 3.5 9.872983346 9.0 537145.1553597946 510256.92007751146 1047402.0754373061
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 3.5 10.802456344 9.0 332439.4890630287 516855.0612906754 849294.5503537041
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 4.3684874988 6.0 9.0 432831.91407721647 552054.8023503099 984886.7164275264
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 5.0491933384 2.127016654 9.0 342484.45041956636 512230.25525200577 854714.7056715721
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 5.0491933384 6.0 5.9016133232 431394.9623195359 553048.9663696851 984443.928689221
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 5.0491933384 6.0 9.0 333523.4026938306 516389.720347732 849913.1230415626
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 5.0491933384 6.0 12.0983866768 424371.61597916775 558262.2005908692 982633.8165700369
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 5.0491933384 9.872983346 9.0 333781.3829095874 516434.7915221303 850216.1744317177
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 12.3667349734 12.3667349734 5.4209825376000005 6.0 9.0 355363.244322968 496522.88493805815 851886.1292610262
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 13.9784190586 13.9784190586 3.5 6.0 9.0 383712.9211599742 497273.6957756082 880986.6169355824
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 15.9404406313 15.9404406313 1.9508066616 6.0 9.0 535760.9450274734 500610.62768873665 1036371.57271621
10.0 10.0 300.0 1.0 206.0129077457011 0.58381049962 120.27249859918673 10.6762099924 20.5 20.5 5.0491933384 6.0 9.0 446210.24438665935 570493.0315077541 1016703.2758944135
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 15.9404406313 15.9404406313 3.5 2.127016654 9.0 396535.28391059884 532038.5070771761 928573.790987775
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 15.9404406313 15.9404406313 3.5 6.0 5.9016133232 398766.6343251567 535723.7929046408 934490.4272297975
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 15.9404406313 15.9404406313 3.5 6.0 9.0 425538.01114001387 513075.7588902155 938613.7700302294
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 15.9404406313 15.9404406313 3.5 6.0 12.0983866768 424598.1508427062 511674.47102831316 936272.6218710194
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 15.9404406313 15.9404406313 3.5 9.872983346 9.0 386391.05289532035 543891.8531394019 930282.9060347222
