# IP RP SP set_id D HHub_Ratio HHub HTrans PileDepth WaterDepth WaveHeight WavePeriod WindSpeed monopile_mass tower_mass total_mass
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 39.2034656337 39.2034656337 3.5 6.0 5.9016133232 846011.6574831086 617721.1921886266 1463732.8496717352
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 39.2034656337 39.2034656337 3.5 6.0 9.0 1081560.9671402755 557122.2604589749 1638683.2275992504
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 39.2034656337 39.2034656337 3.5 6.0 12.0983866768 840721.0478670951 623120.6867148075 1463841.7345819026
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 39.2034656337 39.2034656337 3.5 9.872983346 9.0 846884.1998224845 617744.7399091504 1464628.939731635
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 39.2034656337 39.2034656337 5.0491933384 6.0 9.0 847811.5624986497 618901.179936282 1466712.7424349317
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 42.2608930472 42.2608930472 3.5 6.0 9.0 928300.9881886583 624305.6189734879 1552606.6071621461
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 1.512336073576 6.0 9.0 1141416.8585491925 610781.2773312121 1752198.1358804046
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 1.5790174626 2.127016654 9.0 1029396.9787457145 638075.8931068936 1667472.8718526082
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 1.5790174626 6.0 5.9016133232 1020331.741832762 630369.3601581014 1650701.1019908634
10.0 10.0 300.0 1.0 206.0129077457011 0.58381049962 120.27249859918673 10.6762099924 56.7316517034 56.7316517034 3.5 6.0 9.0 1742258.186511812 644861.8651197215 2387120.0516315335
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 1.5790174626 6.0 9.0 1032144.6633544291 622965.6145393065 1655110.2778937356
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 1.5790174626 6.0 12.0983866768 1015591.6290502917 633213.5431278163 1648805.172178108
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 1.5790174626 9.872983346 9.0 1202024.3847607921 561261.071303762 1763285.4560645542
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 1.7230815342399999 6.0 9.0 1112482.8771385008 594502.6770127316 1706985.5541512324
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 1.9508066616 1.1975436565 9.0 1096894.1473099205 700597.1348701685 1797491.282180089
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 1.9508066616 2.127016654 5.9016133232 1253532.5730284473 538038.9294136825 1791571.50244213
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 1.9508066616 2.127016654 9.0 1018023.2742873942 639786.9952713847 1657810.269558779
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 13.0 45.5 45.5 1.9508066616 2.127016654 12.0983866768 1019651.9137108253 636623.083938161 1656274.9976489863
