trial_id,run_id,seed,pd_level,t_start_iso,t_end_iso,t_climate_done_iso,t_layout_done_iso,t_bridge_done_iso,dt_climate_s,dt_layout_s,dt_bridge_s,dt_aep_total_s,dt_total_s,n_farms_total,n_new_farms,n_turbines_total,requested_mw,delivered_mw,delivered_pct,climate_scale,climate_extreme_modes,climate_mean_speed,climate_dominant_sector,climate_dominant_sector_freq
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,high,2026-08-07T06:29:12.406,2026-08-07T06:29:41.437,2026-08-07T06:29:12.411,2026-08-07T06:29:20.199,2026-08-07T06:29:20.208,0.01,7.79,0.01,21.23,29.03,22,9,1465,23616.0,6398.0,27.09,1.0,,9.141,7,0.1567
mc_20260807_0627_high_000081,mc_20260807_0627_high/task_0016,81,high,2026-08-07T06:29:41.443,2026-08-07T06:29:58.623,2026-08-07T06:29:41.446,2026-08-07T06:29:48.559,2026-08-07T06:29:48.559,0.0,7.11,0.0,10.06,17.18,22,9,1073,23616.0,2737.0,11.59,1.0,,9.49,7,0.18
mc_20260807_0627_high_000082,mc_20260807_0627_high/task_0016,82,high,2026-08-07T06:29:58.624,2026-08-07T06:30:24.059,2026-08-07T06:29:58.627,2026-08-07T06:30:05.455,2026-08-07T06:30:05.455,0.0,6.83,0.0,18.6,25.43,29,16,1450,23616.0,5932.2,25.12,1.0,,9.222,8,0.1482
mc_20260807_0627_high_000083,mc_20260807_0627_high/task_0016,83,high,2026-08-07T06:30:24.060,2026-08-07T06:30:46.770,2026-08-07T06:30:24.062,2026-08-07T06:30:31.158,2026-08-07T06:30:31.158,0.0,7.1,0.0,15.61,22.71,21,8,1325,23616.0,4524.0,19.16,1.0,,8.798,7,0.1417
mc_20260807_0627_high_000084,mc_20260807_0627_high/task_0016,84,high,2026-08-07T06:30:46.770,2026-08-07T06:31:03.721,2026-08-07T06:30:46.773,2026-08-07T06:30:54.409,2026-08-07T06:30:54.409,0.0,7.64,0.0,9.31,16.95,20,7,1018,23616.0,3203.0,13.56,1.0,,9.032,7,0.1413
mc_20260807_0627_high_000085,mc_20260807_0627_high/task_0017,85,high,2026-08-07T06:29:20.079,2026-08-07T06:29:46.774,2026-08-07T06:29:20.084,2026-08-07T06:29:26.455,2026-08-07T06:29:26.463,0.01,6.37,0.01,20.31,26.7,23,10,1425,23616.0,7134.5,30.21,1.0,,9.109,7,0.1638
mc_20260807_0627_high_000086,mc_20260807_0627_high/task_0017,86,high,2026-08-07T06:29:46.777,2026-08-07T06:30:11.065,2026-08-07T06:29:46.780,2026-08-07T06:29:53.927,2026-08-07T06:29:53.927,0.0,7.15,0.0,17.14,24.29,27,14,1371,23616.0,5880.0,24.9,1.0,,8.809,7,0.1458
mc_20260807_0627_high_000087,mc_20260807_0627_high/task_0017,87,high,2026-08-07T06:30:11.066,2026-08-07T06:30:29.844,2026-08-07T06:30:11.069,2026-08-07T06:30:18.509,2026-08-07T06:30:18.509,0.0,7.44,0.0,11.33,18.78,21,8,1123,23616.0,2928.0,12.4,1.0,,8.928,7,0.1605
mc_20260807_0627_high_000088,mc_20260807_0627_high/task_0017,88,high,2026-08-07T06:30:29.845,2026-08-07T06:30:51.074,2026-08-07T06:30:29.847,2026-08-07T06:30:37.360,2026-08-07T06:30:37.360,0.0,7.51,0.0,13.71,21.23,24,11,1257,23616.0,4835.2,20.47,1.0,,8.987,7,0.1643
mc_20260807_0627_high_000089,mc_20260807_0627_high/task_0017,89,high,2026-08-07T06:30:51.075,2026-08-07T06:31:16.684,2026-08-07T06:30:51.077,2026-08-07T06:30:57.418,2026-08-07T06:30:57.419,0.0,6.34,0.0,19.27,25.61,27,14,1492,23616.0,8191.0,34.68,1.0,,8.956,7,0.1653
mc_20260807_0627_high_000090,mc_20260807_0627_high/task_0018,90,high,2026-08-07T06:29:22.353,2026-08-07T06:29:44.775,2026-08-07T06:29:22.358,2026-08-07T06:29:29.214,2026-08-07T06:29:29.222,0.0,6.86,0.01,15.55,22.42,22,9,1228,23616.0,4764.5,20.17,1.0,,9.221,7,0.1753
mc_20260807_0627_high_000091,mc_20260807_0627_high/task_0018,91,high,2026-08-07T06:29:44.777,2026-08-07T06:30:12.391,2026-08-07T06:29:44.780,2026-08-07T06:29:52.033,2026-08-07T06:29:52.034,0.0,7.25,0.0,20.36,27.61,26,13,1489,23616.0,6079.0,25.74,1.0,,9.314,7,0.1597
