trial_id,run_id,seed,wake_model,dt_aep_s,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,full_cluster_aep_gwh,full_cluster_loss_pct
mc_20260807_0627_high_000059,mc_20260807_0627_high/task_0011,59,Nygaard_TurboGaussian,17.04,3179.308004594693,3101.424156640339,2.45,2756.062470318677,13.313
mc_20260807_0627_high_000059,mc_20260807_0627_high/task_0011,59,SuperGaussian,4.19,3237.861768515485,3232.2651006257693,0.173,2926.4046433082676,9.619
mc_20260807_0627_high_000060,mc_20260807_0627_high/task_0012,60,Nygaard_TurboGaussian,17.75,3235.889465471273,3185.6716337491107,1.552,2858.4451706894515,11.664
mc_20260807_0627_high_000060,mc_20260807_0627_high/task_0012,60,SuperGaussian,4.48,3287.064107282393,3283.317571587985,0.114,3007.671081372753,8.5
mc_20260807_0627_high_000061,mc_20260807_0627_high/task_0012,61,Nygaard_TurboGaussian,12.57,3104.3655833818666,3044.4961326870507,1.929,2708.020882934742,12.767
mc_20260807_0627_high_000061,mc_20260807_0627_high/task_0012,61,SuperGaussian,7.79,3160.3193904835207,3156.0224922129837,0.136,2859.7798919416,9.51
mc_20260807_0627_high_000062,mc_20260807_0627_high/task_0012,62,Nygaard_TurboGaussian,18.98,2956.2638054636573,2900.0046162990425,1.903,2540.0768015089125,14.078
mc_20260807_0627_high_000062,mc_20260807_0627_high/task_0012,62,SuperGaussian,8.78,3008.9486212672764,3005.0093165604007,0.131,2690.547227034782,10.582
mc_20260807_0627_high_000063,mc_20260807_0627_high/task_0012,63,Nygaard_TurboGaussian,15.71,3730.6883686913934,3665.2315262940297,1.755,3243.8808947231037,13.049
mc_20260807_0627_high_000063,mc_20260807_0627_high/task_0012,63,SuperGaussian,6.65,3781.643072413375,3776.877785017383,0.126,3428.843180904204,9.329
mc_20260807_0627_high_000064,mc_20260807_0627_high/task_0012,64,Nygaard_TurboGaussian,10.82,3246.178023755756,3196.9775231469803,1.516,2858.4425581759906,11.944
mc_20260807_0627_high_000064,mc_20260807_0627_high/task_0012,64,SuperGaussian,4.78,3294.781247329122,3291.2234790172542,0.108,2982.1629387346948,9.488
mc_20260807_0627_high_000065,mc_20260807_0627_high/task_0013,65,Nygaard_TurboGaussian,14.68,3181.230391629047,3120.3198874251993,1.915,2714.856115121477,14.66
mc_20260807_0627_high_000065,mc_20260807_0627_high/task_0013,65,SuperGaussian,3.54,3234.134035226113,3229.688258608675,0.137,2866.578430124702,11.365
mc_20260807_0627_high_000066,mc_20260807_0627_high/task_0013,66,Nygaard_TurboGaussian,8.73,3270.9787044353006,3208.479614160842,1.911,2878.5123647602554,11.998
mc_20260807_0627_high_000066,mc_20260807_0627_high/task_0013,66,SuperGaussian,2.32,3322.6517052594854,3318.079203253661,0.138,3043.141785995152,8.412
mc_20260807_0627_high_000067,mc_20260807_0627_high/task_0013,67,Nygaard_TurboGaussian,16.27,3319.9580886701615,3266.281148956162,1.617,2939.81404707082,11.45
mc_20260807_0627_high_000067,mc_20260807_0627_high/task_0013,67,SuperGaussian,3.98,3370.6009842296835,3366.6995461613856,0.116,3068.706147953775,8.957
mc_20260807_0627_high_000068,mc_20260807_0627_high/task_0013,68,Nygaard_TurboGaussian,16.97,3493.7421283179638,3426.3994974410302,1.928,2992.5366819375818,14.346
mc_20260807_0627_high_000068,mc_20260807_0627_high/task_0013,68,SuperGaussian,4.49,3548.6971457044187,3543.8642826200107,0.136,3163.638306775004,10.851
mc_20260807_0627_high_000069,mc_20260807_0627_high/task_0013,69,Nygaard_TurboGaussian,9.26,3265.1673114472883,3194.2720662317724,2.171,2817.771440690337,13.702
mc_20260807_0627_high_000069,mc_20260807_0627_high/task_0013,69,SuperGaussian,2.35,3324.1144893396213,3319.014678953786,0.153,2985.6318719399146,10.183
mc_20260807_0627_high_000070,mc_20260807_0627_high/task_0014,70,Nygaard_TurboGaussian,39.68,3153.685407348322,3092.7386980943343,1.933,2617.97527325556,16.987
mc_20260807_0627_high_000070,mc_20260807_0627_high/task_0014,70,SuperGaussian,10.44,3206.025685601145,3201.5979614864546,0.138,2785.467536250085,13.118
mc_20260807_0627_high_000071,mc_20260807_0627_high/task_0014,71,Nygaard_TurboGaussian,17.66,3299.6122596656683,3236.2256291593303,1.921,2864.6069868283967,13.184
mc_20260807_0627_high_000071,mc_20260807_0627_high/task_0014,71,SuperGaussian,4.58,3353.747307336743,3349.218677664823,0.135,3018.0644210450205,10.009
mc_20260807_0627_high_000072,mc_20260807_0627_high/task_0014,72,Nygaard_TurboGaussian,12.54,3269.4998094770763,3209.0098514490264,1.85,2836.9269623873543,13.231
mc_20260807_0627_high_000072,mc_20260807_0627_high/task_0014,72,SuperGaussian,3.25,3322.7344684246573,3318.298412127318,0.134,2992.5974246228216,9.936
mc_20260807_0627_high_000073,mc_20260807_0627_high/task_0014,73,Nygaard_TurboGaussian,10.53,3265.9423628049176,3198.152177359679,2.076,2861.482010269991,12.384
mc_20260807_0627_high_000073,mc_20260807_0627_high/task_0014,73,SuperGaussian,2.89,3319.593473005838,3314.7994131038704,0.144,3017.302355134743,9.106
mc_20260807_0627_high_000074,mc_20260807_0627_high/task_0014,74,Nygaard_TurboGaussian,17.75,3232.4274614032247,3168.096069162578,1.99,2791.3920388853217,13.644
mc_20260807_0627_high_000074,mc_20260807_0627_high/task_0014,74,SuperGaussian,5.29,3285.90453930094,3281.2000989005583,0.143,2948.154878007488,10.279
mc_20260807_0627_high_000075,mc_20260807_0627_high/task_0015,75,Nygaard_TurboGaussian,36.19,3245.1678637012305,3185.834955805398,1.828,2768.076718646411,14.702
mc_20260807_0627_high_000075,mc_20260807_0627_high/task_0015,75,SuperGaussian,5.47,3296.919578124711,3292.6110771755075,0.131,2934.1019474327386,11.005
mc_20260807_0627_high_000076,mc_20260807_0627_high/task_0015,76,Nygaard_TurboGaussian,21.19,3387.0903594441215,3313.381609490397,2.176,2959.391234059363,12.627
mc_20260807_0627_high_000076,mc_20260807_0627_high/task_0015,76,SuperGaussian,5.94,3440.4454017393596,3435.0834843663683,0.156,3139.4266785638097,8.749
mc_20260807_0627_high_000077,mc_20260807_0627_high/task_0015,77,Nygaard_TurboGaussian,15.03,3203.1185690752573,3141.067800735436,1.937,2723.5503480625916,14.972
